obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
0,1.237657606964773e+18,132.69402117021,42.7920387891118,21.91854,21.48263,21.50137,21.50787,21.44608,2825,301,2,178,5.183794454331677e+18,STAR,0.0001184798,4604,55983,550
1,1.237655126087041e+18,193.741992301173,5.39261769355981,19.62425,17.59194,16.62222,16.19899,15.84006,2247,301,5,220,9.548904342518765e+17,GALAXY,0.09151466,848,52669,463
2,1.2376786184836224e+18,341.833486877472,1.91012710586851,22.25089,21.65565,21.55551,21.57887,21.29672,7717,301,3,208,4.834722044397771e+18,STAR,0.0007987272,4294,55500,392
3,1.237665127456834e+18,149.512011490027,28.9251314693379,23.3488,22.45941,21.93303,21.4552,21.16367,4576,301,2,244,1.1762311372897276e+19,GALAXY,0.8410187,10447,58143,127
4,1.2376802768668595e+18,350.648812854537,26.9142466191956,26.46788,20.70809,19.9454,19.66175,19.69301,8103,301,4,40,7.416381411127745e+18,STAR,-0.0001036275,6587,56537,286
5,1.2376551298361592e+18,241.944423723365,49.7315423677243,20.57794,20.47277,20.54075,20.2361,20.23685,2248,301,4,83,9.078199520576429e+18,QSO,1.836564,8063,57576,249
6,1.2376591322097907e+18,220.300359610318,49.3029446717165,24.41811,22.19163,20.47567,19.63836,19.52048,3180,301,3,98,7.571766316044146e+18,GALAXY,0.3621071,6725,56390,325
7,1.2376682944486444e+18,173.739490943108,20.2698427300429,21.33972,19.33321,17.88698,17.33514,16.98006,5313,301,5,96,7.240751742107014e+18,GALAXY,0.2533843,6431,56311,325
8,1.2376802768731507e+18,6.79703981650886,27.503768994063,21.76687,19.28624,17.89458,17.34269,17.03518,8103,301,4,136,7.070893967513246e+18,GALAXY,0.2457416,6280,56570,882
9,1.2376650265208425e+18,199.396464495743,35.3332918164085,24.28434,22.26526,21.04088,20.00676,19.5452,4552,301,6,179,4.479989083456952e+18,GALAXY,0.6369866,3979,55597,121
10,1.237654599945421e+18,133.188545616556,2.04465275490358,20.19968,19.18889,18.9799,18.93676,18.87443,2125,301,1,96,3.279817423066261e+18,STAR,0.0001899987,2913,54526,258
11,1.2376634792635277e+18,344.196435201154,0.115034984516919,23.06148,21.26201,19.78166,19.24726,18.94002,4192,301,4,250,1.0304409255412e+19,GALAXY,0.2231891,9152,58041,630
12,1.2376683314912307e+18,220.486842083415,13.7701599842689,23.68919,22.13712,20.51204,19.63705,19.13571,5322,301,2,73,6.156681100892854e+18,GALAXY,0.4430259,5468,56014,947
13,1.2376576300466179e+18,126.308044007367,34.8691145821673,20.2952,18.37518,17.42899,17.05639,16.83006,2830,301,5,123,1.3117989974665615e+19,STAR,0.000393219,11651,58511,473
14,1.2376654415215332e+18,209.66767799855,27.3767305303984,19.57733,18.49427,17.82306,17.4841,17.19888,4649,301,3,171,2.3846849289618985e+18,GALAXY,0.1514216,2118,53820,105
15,1.2376553692795377e+18,147.916408385482,56.2573075215878,22.58377,23.04153,21.07882,19.81712,19.46144,2304,301,2,67,6.466240903061461e+18,GALAXY,0.6370355,5743,56011,719
16,1.2376671428672888e+18,140.516518121159,24.758690626911,23.11337,20.52369,18.80258,18.20234,17.7813,5045,301,4,199,6.501108065894685e+18,GALAXY,0.3506653,5774,56002,589
17,1.2376515392627018e+18,242.829020788273,52.497610260723,19.35886,18.21938,17.70502,17.35063,17.1061,1412,301,4,376,7.015549733846651e+17,GALAXY,0.06227684,623,52051,434
18,1.237660241925374e+18,52.4914924445204,1.03128243185922,25.11884,21.98802,20.51943,19.07501,18.29018,3438,301,6,150,1.707031708626348e+18,STAR,-5.505292e-05,1516,52933,609
19,1.2376802516341235e+18,29.1635590125273,28.2210773004675,25.4611,23.1242,21.19983,19.81905,19.13712,8097,301,5,43,7.057399380975049e+18,GALAXY,0.6664876,6268,56245,941
20,1.2376655671423142e+18,210.890518942315,23.4830727084163,18.214,17.41439,17.18913,17.01783,16.93317,4678,301,5,64,3.134670343378069e+18,GALAXY,0.02831716,2784,54529,600
21,1.2376611508425856e+18,198.956947946049,48.9060679522824,23.1761,21.25649,20.30046,19.73953,19.53103,3650,301,3,70,8.368894392136915e+18,GALAXY,0.1302095,7433,57166,292
22,1.2376685032899215e+18,240.255244096045,60.2401903021969,22.28295,19.99251,18.50137,17.92456,17.55023,5362,301,2,73,7.653951238401448e+18,GALAXY,0.2703991,6798,56485,304
23,1.2376719408738473e+18,236.419592588106,61.3653318856283,22.33563,21.35712,21.12934,20.69079,20.25682,6162,301,5,65,7.658446041449258e+18,QSO,2.097656,6802,56456,272
24,1.2376664068476111e+18,36.0659192584342,-0.880091406392462,23.71191,23.13247,22.81427,22.33185,22.08482,4874,301,1,662,8.257475097901946e+18,QSO,0.5118163,7334,56656,455
25,1.2376551260843543e+18,187.562468623197,5.51501243979905,20.27036,18.44833,17.11674,16.62799,16.23537,2247,301,5,179,9.514910143448617e+17,GALAXY,0.2008935,845,52381,384
26,1.237654030863368e+18,166.859859491754,3.13095050018532,17.96317,16.81545,16.37257,16.19543,16.11832,1992,301,5,113,3.651428445319176e+18,STAR,-1.539777e-05,3243,54910,491
27,1.237660764846162e+18,150.393879439727,39.5490579280316,23.60672,22.18036,20.84124,19.88195,19.57246,3560,301,4,280,5.145625726767356e+18,GALAXY,0.5632418,4570,55623,957
28,1.2376794345266222e+18,18.6253980161814,-2.8455472617457,22.50362,23.20395,21.52604,20.41211,19.67478,7907,301,3,196,8.866495693474518e+18,GALAXY,0.6774701,7875,56980,123
29,1.2376788595376136e+18,341.971752003378,11.7580932657591,23.09565,21.49729,20.16971,19.33898,18.72543,7773,301,4,192,5.686014811030444e+18,GALAXY,0.5202147,5050,56215,801
30,1.2376515392501847e+18,191.350472335641,67.7154271951556,22.21723,22.3993,20.58172,19.40836,19.31299,1412,301,4,185,7.840911100489259e+18,GALAXY,0.6205793,6964,56748,524
31,1.237663306918855e+18,0.80600465105374,27.4549915701085,19.6041,18.63907,18.09418,17.87304,17.84071,4152,301,3,111,3.1795952876855235e+18,STAR,-0.0001146028,2824,54452,196
32,1.2376696822636874e+18,4.83629647700667,8.55026277386736,21.45863,20.007,18.41926,17.83605,17.44948,5636,301,6,153,5.107090871796652e+18,GALAXY,0.2386092,4536,55857,32
33,1.2376785975598124e+18,14.1644769353742,2.8206402671733,23.82327,24.6203,24.38611,21.75788,19.7467,7712,301,4,424,8.847471398584867e+18,STAR,-7.086786e-05,7858,57281,545
34,1.2376788938924367e+18,29.2006310933562,32.6340041980804,24.65069,22.18621,21.62555,21.06721,20.39189,7781,301,4,117,7.434553040303315e+18,QSO,0.8589977,6603,56567,858
35,1.2376672121274373e+18,152.423058734182,26.4509507637131,23.00565,22.57613,21.96297,21.16491,20.97151,5061,301,5,257,1.0839293076549423e+19,GALAXY,0.7560678,9627,58132,926
36,1.2376613886893755e+18,244.320173417311,40.4717843517565,21.59636,18.89999,17.50804,16.98895,16.65509,3705,301,6,268,1.504374670277765e+18,GALAXY,0.2392983,1336,52759,627
37,1.2376709600150815e+18,40.8739623980432,29.0005437698231,19.64956,18.50261,18.031,17.80244,17.68492,5934,301,2,132,2.7496139418427986e+18,STAR,-0.0003722556,2442,54065,605
38,1.2376555034970688e+18,255.096057576064,36.7112987276161,17.76751,16.73421,16.39941,16.17249,16.04244,2335,301,4,64,9.233880478510223e+17,GALAXY,0.03234032,820,52438,546
39,1.237662337872036e+18,253.075607681764,23.3993065204506,17.56813,16.34682,15.89971,15.72854,15.66056,3926,301,6,190,2.454506679409076e+18,STAR,-0.0002476579,2180,54613,163
40,1.2376662151473408e+18,18.6414910937705,22.7604591419277,22.34667,23.74773,21.80601,20.62443,19.72151,4829,301,4,92,8.64811674231979e+18,GALAXY,0.8082166,7681,57042,289
41,1.237678597536613e+18,321.128282896119,2.04610611610838,21.75907,21.87728,21.96635,21.47951,21.565,7712,301,4,70,1.0315655884957831e+19,GALAXY,0.9047058,9162,58040,585
42,1.2376626621325645e+18,213.694059706855,35.7499799651673,23.65264,21.27218,20.0554,19.32588,18.81782,4002,301,2,45,4.340362646081788e+18,GALAXY,0.5301352,3855,55268,67
43,1.2376551260935951e+18,208.838318855178,5.08421835996841,23.7294,23.72041,21.34631,20.04983,19.97437,2247,301,5,320,5.476401156556347e+18,GALAXY,0.6269582,4864,55680,87
44,1.2376683309516063e+18,213.92443579345,14.4722703399256,19.39908,18.32289,17.60001,17.13694,16.84263,5322,301,1,31,3.090597239412779e+18,GALAXY,0.1513415,2745,54231,7
45,1.237655126090056e+18,200.734426516337,5.37266680836834,21.03098,18.8687,17.73394,17.25786,16.89609,2247,301,5,266,9.583123843996979e+17,GALAXY,0.1627453,851,52376,624
46,1.2376788584701627e+18,356.629498512519,11.868656696284,22.06775,23.43115,21.81122,20.76376,19.79386,7773,301,2,288,1.3010011884514204e+19,QSO,0.4628685,11555,58452,867
47,1.23765534835114e+18,228.2155365821,54.343087344948,23.12262,20.33625,18.86085,16.98944,15.95208,2299,301,3,213,8.928675280684585e+17,STAR,-6.410338e-05,793,52370,105
48,1.2376607728828419e+18,151.216006511895,39.4069124214285,21.33968,20.95338,20.82043,20.61701,20.4231,3562,301,3,30,5.140927788577217e+18,QSO,0.6975584,4566,55630,250
49,1.2376619770863951e+18,190.395375094607,8.65296127322259,25.70331,23.44659,21.35952,20.11792,19.73461,3842,301,6,62,6.087955025610693e+18,GALAXY,0.6447383,5407,55926,779
50,1.237660958108877e+18,125.453412340865,27.3407982639551,23.74433,20.75764,19.02456,18.34559,18.11704,3605,301,4,115,5.016017218821183e+18,GALAXY,0.3455864,4455,55539,484
51,1.2376655365430313e+18,243.319798864766,18.9390722438266,18.65866,17.62852,17.3245,17.19171,17.19928,4671,301,4,100,3.340557195136756e+18,GALAXY,0.0,2967,54584,44
52,1.237680306405835e+18,356.4574005919,27.0989913205015,20.40133,19.71553,19.61283,19.56112,19.30861,8110,301,3,209,7.336606895300696e+18,QSO,2.281781,6516,56571,884
53,1.2376672105276375e+18,180.256054774499,29.1330677999831,19.33043,17.99551,17.24617,16.83437,16.55469,5061,301,2,422,2.5051718855080284e+18,GALAXY,0.1341271,2225,53729,162
